neuron,cluster_index,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
584,0,((((hyp:tok:asleep OR hyp:tok:sleeping) OR hyp:tok:sleep) OR hyp:tok:nobody) OR hyp:tok:sleeps),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.03284313725490196,5,-0.08770899,-0.012799278,0.046606153
588,0,(((((NOT pre:tok:man) AND hyp:tok:man) OR hyp:tok:chasing) OR pre:tok:toys) OR hyp:tok:couch),(((((NOT pre) AND hyp) OR hyp) OR pre) OR hyp),(((((NOT pre:tok) AND hyp:tok) OR hyp:tok) OR pre:tok) OR hyp:tok),0.03253796095444685,6,-0.098950006,-0.027074762,0.060489606
590,0,((((hyp:tok:protective OR pre:tok:trampoline) OR pre:tok:marching) OR hyp:tok:drive) AND pre:tok:in),((((hyp OR pre) OR pre) OR hyp) AND pre),((((hyp:tok OR pre:tok) OR pre:tok) OR hyp:tok) AND pre:tok),0.07407407407407407,5,-0.013661542,0.03415597,-0.16081591
593,0,(((((NOT oth:overlap:overlap25) AND pre:tag:.) OR hyp:tok:running) OR pre:tok:bench) AND (NOT pre:tok:by)),(((((NOT oth) AND pre) OR hyp) OR pre) AND (NOT pre)),(((((NOT oth:overlap) AND pre:tag) OR hyp:tok) OR pre:tok) AND (NOT pre:tok)),0.030894308943089432,7,-0.05937195,-0.039842267,0.02886585
598,0,pre:tok:in,pre,pre:tok,0.0,1,-0.079522945,-0.023907695,0.020823352
599,0,pre:tok:in,pre,pre:tok,0.0,1,-0.0557207,0.041747555,0.00727916
601,0,((NOT hyp:tag:dt) AND (hyp:tok:cows OR pre:tok:numbers)),((NOT hyp) AND (hyp OR pre)),((NOT hyp:tag) AND (hyp:tok OR pre:tok)),0.13333333333333333,4,-0.18483868,0.16686302,-0.12984528
602,0,(hyp:tok:swimming AND pre:tok:claus),(hyp AND pre),(hyp:tok AND pre:tok),0.16666666666666666,2,-0.21456668,0.072715305,-0.068748794
604,0,((((hyp:tag:. AND hyp:tag:in) OR hyp:tok:playing) AND (NOT hyp:tok:to)) OR hyp:tok:running),((((hyp AND hyp) OR hyp) AND (NOT hyp)) OR hyp),((((hyp:tag AND hyp:tag) OR hyp:tok) AND (NOT hyp:tok)) OR hyp:tok),0.028089048259375467,6,-0.08807288,-0.015387026,0.05804925
605,0,((((pre:tok:case OR pre:tok:hugging) OR pre:tok:hairnet) OR hyp:tok:picnic) AND (NOT pre:tok:on)),((((pre OR pre) OR pre) OR hyp) AND (NOT pre)),((((pre:tok OR pre:tok) OR pre:tok) OR hyp:tok) AND (NOT pre:tok)),0.07272727272727272,6,0.08931292,-0.04352213,-0.03725116
606,0,(((((NOT hyp:tag:prp) AND pre:tag:nn) OR oth:overlap:overlap75) OR pre:tok:into) AND (NOT hyp:tok:trying)),(((((NOT hyp) AND pre) OR oth) OR pre) AND (NOT hyp)),(((((NOT hyp:tag) AND pre:tag) OR oth:overlap) OR pre:tok) AND (NOT hyp:tok)),0.04572244221383184,7,0.02812306,0.001870301,-0.013754008
609,0,(((((NOT pre:tag:vbz) AND hyp:tok:home) OR hyp:tok:pets) AND (NOT pre:tok:on)) AND hyp:tag:vbg),(((((NOT pre) AND hyp) OR hyp) AND (NOT pre)) AND hyp),(((((NOT pre:tag) AND hyp:tok) OR hyp:tok) AND (NOT pre:tok)) AND hyp:tag),0.06976744186046512,7,-0.18414193,-0.010942933,0.046322245
614,0,((((hyp:tok:knitting OR pre:tok:book) OR hyp:tok:jet) AND (NOT pre:tag:vbz)) OR hyp:tok:chess),((((hyp OR pre) OR hyp) AND (NOT pre)) OR hyp),((((hyp:tok OR pre:tok) OR hyp:tok) AND (NOT pre:tag)) OR hyp:tok),0.06060606060606061,6,-0.0046556727,-0.0034629058,0.04429561
615,0,(((((NOT pre:tok:man) AND hyp:tag:.) AND hyp:tag:vbg) AND (NOT pre:tok:to)) OR pre:tok:riding),(((((NOT pre) AND hyp) AND hyp) AND (NOT pre)) OR pre),(((((NOT pre:tok) AND hyp:tag) AND hyp:tag) AND (NOT pre:tok)) OR pre:tok),0.024885396201702686,7,-0.015464551,-0.02859926,0.03885418
618,0,(((((NOT hyp:tag:in) AND hyp:tok:sitting) OR hyp:tok:skateboarding) AND (NOT pre:tag:cc)) AND (NOT pre:tag:cd)),(((((NOT hyp) AND hyp) OR hyp) AND (NOT pre)) AND (NOT pre)),(((((NOT hyp:tag) AND hyp:tok) OR hyp:tok) AND (NOT pre:tag)) AND (NOT pre:tag)),0.05084745762711865,8,0.07899302,-0.036920622,-0.12871344
619,0,((((pre:tag:. OR pre:tag:jj) OR pre:tag:nnp) AND (NOT hyp:tok:for)) OR pre:tok:front),((((pre OR pre) OR pre) AND (NOT hyp)) OR pre),((((pre:tag OR pre:tag) OR pre:tag) AND (NOT hyp:tok)) OR pre:tok),0.04099302058485732,6,-0.007890739,-0.020227123,0.0035741406
620,0,(((((NOT oth:overlap:overlap75) AND pre:tag:nn) OR hyp:tok:woman) OR hyp:tok:plays) OR hyp:tok:black),(((((NOT oth) AND pre) OR hyp) OR hyp) OR hyp),(((((NOT oth:overlap) AND pre:tag) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.03971877282688094,6,-0.032422017,-0.049066924,0.045292325
623,0,((((NOT hyp:tok:near) AND (hyp:tag:nn OR hyp:tag:nns)) AND (NOT hyp:tok:trying)) OR hyp:tok:shore),((((NOT hyp) AND (hyp OR hyp)) AND (NOT hyp)) OR hyp),((((NOT hyp:tok) AND (hyp:tag OR hyp:tag)) AND (NOT hyp:tok)) OR hyp:tok),0.03146033989066974,7,-0.053177916,-0.009262991,0.027573373
631,0,((((hyp:tok:tennis AND pre:tok:is) OR pre:tok:boardwalk) AND hyp:tag:.) AND pre:tag:in),((((hyp AND pre) OR pre) AND hyp) AND pre),((((hyp:tok AND pre:tok) OR pre:tok) AND hyp:tag) AND pre:tag),0.11538461538461539,5,-0.093442954,-0.09237987,0.024409292
636,0,((((NOT hyp:tok:on) AND (hyp:tok:outdoors OR hyp:tok:outside)) AND (NOT pre:tok:is)) OR pre:tok:lost),((((NOT hyp) AND (hyp OR hyp)) AND (NOT pre)) OR pre),((((NOT hyp:tok) AND (hyp:tok OR hyp:tok)) AND (NOT pre:tok)) OR pre:tok),0.05762987012987013,7,0.044779662,-0.007784139,-0.05272159
640,0,((((hyp:tok:dinner OR hyp:tok:favorite) OR hyp:tok:cigarettes) OR hyp:tok:chat) OR hyp:tok:daughters),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.039647577092511016,5,-0.08903668,0.044062413,-0.0043727984
643,0,((((hyp:tag:ex AND hyp:tok:picture) OR hyp:tok:humans) OR pre:tok:turns) OR hyp:tok:vehicles),((((hyp AND hyp) OR hyp) OR pre) OR hyp),((((hyp:tag AND hyp:tok) OR hyp:tok) OR pre:tok) OR hyp:tok),0.072,5,-0.0056605176,-0.05705829,0.00863685
